StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
28941,39429,66811,3165,,   Zet Pup, ,8.0597417,-40.00318846,429.1845493562,2.21,-5.9532203949,O5IAf       ,-0.269
33713,45556,80404,3699,,   Iot Car, ,9.28484122,-59.27526115,212.3142250531,2.21,-4.4248954644,A8Ib        ,0.189
55027,76267,139006,5793,,  5Alp CrB,Alphekka,15.57810819,26.71491041,22.9095074456,2.22,0.4199212402,A0V         ,0.032
33156,44816,78647,3634,,   Lam Vel, ,9.13327141,-43.43262406,175.7469244288,2.23,-3.994438668,K4Ib-II     ,1.665
72847,100453,194093,7796,, 37Gam Cyg, ,20.37047223,40.2566815,467.2897196262,2.23,-6.1179311333,F8Ib        ,0.673
2243,3179,3712,168,, 18Alp Cas,Shedir,0.67510756,56.53740928,70.0770847933,2.24,-1.9878801344,K0II-IIIvar ,1.17
63252,87833,164058,6705,, 33Gam Dra,Etamin,17.94343829,51.48895101,45.2488687783,2.24,-1.0380386316,K5III       ,1.521
18386,25930,36486,1852,, 34Del Ori, ,5.53344437,-0.2990934,280.8988764045,2.25,-4.9927500101,O9.5II      ,-0.175
47710,65378,116656,5054,NN 3783 A, 79Zet UMa,Mizar,13.39872773,54.92541525,23.9635753654,2.25,0.3522419236,A2V         ,0.057
544,746,432,21,Gl   8   , 11Bet Cas,Caph,0.15280269,59.15021814,16.6972783436,2.27,1.1567715654,F2III-IV    ,0.38
48596,66657,118716,5132,,   Eps Cen, ,13.66479797,-53.46636269,115.2073732719,2.29,-3.0174013741,B1III       ,-0.171
56460,78401,143275,5953,,  7Del Sco, ,16.00555881,-22.62162024,123.1527093596,2.29,-3.1622198538,B0.2IV      ,-0.117
59254,82396,151680,6241,, 26Eps Sco, ,16.83617915,-34.29260982,20.0601805416,2.29,0.7783258132,K2IIIb      ,1.144
52045,71860,129056,5469,,   Alp Lup, ,14.69882606,-47.38814127,168.0672268908,2.3,-3.8274151714,B1.5III     ,-0.154
51714,71352,127972,5440,,   Eta Cen, ,14.5917921,-42.15774562,94.6073793756,2.33,-2.5496250635,B1Vn + A    ,-0.157
52212,72105,129988,5505,, 36Eps Boo,Izar,14.74979191,27.07417383,64.308681672,2.35,-1.6913480332,A0          ,0.966
39924,53910,95418,4295,Wo 9343  , 48Bet UMa,Merak,11.0306641,56.38234478,24.3486729973,2.37,0.4376235143,A1V         ,0.033
78021,107315,206778,8308,,  8Eps Peg,Enif,21.73642787,9.87500791,206.1855670103,2.38,-4.191291307,K2Ibvar     ,1.52
62385,86670,160578,6580,,   Kap Sco, ,17.70813327,-39.02992092,142.2475106686,2.39,-3.3752233749,B1.5III     ,-0.171
1489,2081,2261,99,,   Alp Phe,Ankaa,0.43801871,-42.30512197,23.7304224015,2.4,0.5234726564,K0III...    ,1.083
42763,58001,103287,4554,, 64Gam UMa,Phad,11.89715035,53.69473296,25.6476019492,2.41,0.3647661759,A0V SB      ,0.044
76423,105199,203280,8162,Gl 826   ,  5Alp Cep,Alderamin,21.30960598,62.58545529,14.961101137,2.44,1.5651822061,A7IV-V      ,0.257
82663,113881,217906,8775,, 53Bet Peg,Scheat,23.06287038,28.08245462,61.0873549175,2.44,-1.4897566029,M2II-IIIvar ,1.655
26214,35904,58350,2827,, 31Eta CMa, ,7.40158473,-29.30311979,980.3921568627,2.45,-7.5069991412,B5Ia        ,-0.083
74382,102488,197989,7949,Gl 806.1A, 53Eps Cyg, ,20.77012006,33.96945334,22.0945647371,2.45,0.7285727481,K0III       ,1.021
34012,45941,81188,3734,,   Kap Vel, ,9.36856367,-55.01069531,165.2892561983,2.47,-3.6212231267,B2IV        ,-0.141
82712,113963,218045,8781,, 54Alp Peg,Markab,23.07933801,15.20536786,42.8082191781,2.49,-0.6676358078,B9.5III     ,-0.002
9907,14135,18884,911,, 92Alp Cet,Menkar,3.03799418,4.08992539,67.4763832659,2.54,-1.6057589818,M2III       ,1.63
58518,81377,149757,6175,, 13Zet Oph, ,16.61931389,-10.5671518,140.4494382022,2.54,-3.1976000318,O9.5V       ,0.038
49509,68002,121263,5231,,   Zet Cen, ,13.92567635,-47.28826634,117.9245283019,2.55,-2.8080207387,B2.5IV      ,-0.176
40626,54872,97603,4357,Gl 419   , 68Del Leo, ,11.23511447,20.52403384,17.6928520878,2.56,1.3210107659,A4V         ,0.128
56747,78820,144217,5984,,  8Bet1Sco, ,16.0906208,-19.80539286,162.6016260163,2.56,-3.4956244211,B0.5V       ,-0.065
18430,25985,36673,1865,, 11Alp Lep,Arneb,5.54550386,-17.82229227,393.7007874016,2.58,-5.3958314169,F0Ib        ,0.211
